Date,Ticker,Name,Sector
2012-01-01,TDC,Teradata Corp,Information Technology
2012-01-01,TEG,Integrys Energy Group Inc,Utilities
2012-01-01,TEL,TE Connectivity Ltd,Information Technology
2012-01-01,TER,Teradyne Inc,Information Technology
2012-01-01,TFC,Truist Financial Corp,Financials
2012-01-01,TFCFA,TFCF Corp,Communication Services
2012-01-01,TGNA,TEGNA Inc,Communication Services
2012-01-01,TGT,Target Corp,Consumer Discretionary
2012-01-01,THC,Tenet Healthcare Corp,Health Care
2012-01-01,TIE,Titanium Metals Corp,
2012-01-01,TIF,Tiffany & Co,Consumer Discretionary
2012-01-01,TJX,TJX Cos Inc/The,Consumer Discretionary
2012-01-01,TMO,Thermo Fisher Scientific Inc,Health Care
2012-01-01,TMUS,T-Mobile US Inc,Communication Services
2012-01-01,TPR,Tapestry Inc,Consumer Discretionary
2012-01-01,TRIP,TripAdvisor Inc,Communication Services
2012-01-01,TROW,T Rowe Price Group Inc,Financials
2012-01-01,TRV,Travelers Cos Inc/The,Financials
2012-01-01,TSN,Tyson Foods Inc,Consumer Staples
2012-01-01,TSS,Total System Services Inc,Information Technology
2012-01-01,TWC,Time Warner Cable Inc,Communication Services
2012-01-01,TWX,Time Warner Inc,Communication Services
2012-01-01,TXN,Texas Instruments Inc,Information Technology
2012-01-01,TXT,Textron Inc,Industrials
2012-01-01,UNH,UnitedHealth Group Inc,Health Care
2012-01-01,UNM,Unum Group,Financials
2012-01-01,UNP,Union Pacific Corp,Industrials
2012-01-01,UPS,United Parcel Service Inc,Industrials
2012-01-01,URBN,Urban Outfitters Inc,Consumer Discretionary
2012-01-01,USB,US Bancorp,Financials
2012-01-01,UTX,United Technologies Corp,Industrials
2012-01-01,V,Visa Inc,Information Technology
2012-01-01,VAR,Varian Medical Systems Inc,Health Care
2012-01-01,VFC,VF Corp,Consumer Discretionary
2012-01-01,VIAB,Viacom Inc,Communication Services
2012-01-01,VIAC,ViacomCBS Inc,Communication Services
2012-01-01,VIAV,Viavi Solutions Inc,Information Technology
2012-01-01,VLO,Valero Energy Corp,Energy
2012-01-01,VMC,Vulcan Materials Co,Materials
2012-01-01,VNO,Vornado Realty Trust,Real Estate
2012-01-01,VRSN,VeriSign Inc,Information Technology
2012-01-01,VTR,Ventas Inc,Real Estate
2012-01-01,VZ,Verizon Communications Inc,Communication Services
2012-01-01,WAT,Waters Corp,Health Care
2012-01-01,WBA,Walgreens Boots Alliance Inc,Consumer Staples
2012-01-01,WDC,Western Digital Corp,Information Technology
2012-01-01,WEC,WEC Energy Group Inc,Utilities
2012-01-01,WELL,Welltower Inc,Real Estate
2012-01-01,WFC,Wells Fargo & Co,Financials
2012-01-01,WFM,Whole Foods Market Inc,Consumer Staples
2012-01-01,WHR,Whirlpool Corp,Consumer Discretionary
2012-01-01,WINMQ,Windstream Holdings Inc,Communication Services
2012-01-01,WM,Waste Management Inc,Industrials
2012-01-01,WMB,Williams Cos Inc/The,Energy
2012-01-01,WMT,Walmart Inc,Consumer Staples
2012-01-01,WPX,WPX Energy Inc,Energy
2012-01-01,WU,Western Union Co/The,Information Technology
2012-01-01,WY,Weyerhaeuser Co,Real Estate
2012-01-01,WYND,Wyndham Destinations Inc,Consumer Discretionary
2012-01-01,WYNN,Wynn Resorts Ltd,Consumer Discretionary
2012-01-01,X,United States Steel Corp,Materials
2012-01-01,XEL,Xcel Energy Inc,Utilities
2012-01-01,XL,XL Group Ltd,Financials
2012-01-01,XLNX,Xilinx Inc,Information Technology
2012-01-01,XOM,Exxon Mobil Corp,Energy
2012-01-01,XRAY,DENTSPLY SIRONA Inc,Health Care
2012-01-01,XRX,Xerox Holdings Corp,Information Technology
2012-01-01,XYL,Xylem Inc/NY,Industrials
2012-01-01,YUM,Yum! Brands Inc,Consumer Discretionary
2012-01-01,ZBH,Zimmer Biomet Holdings Inc,Health Care
2012-01-01,ZION,Zions Bancorp NA,Financials
2012-02-01,A,Agilent Technologies Inc,Health Care
2012-02-01,AA,Alcoa Corp,Materials
2012-02-01,AAPL,Apple Inc,Information Technology
2012-02-01,ABC,AmerisourceBergen Corp,Health Care
2012-02-01,ABT,Abbott Laboratories,Health Care
2012-02-01,ACN,Accenture PLC,Information Technology
2012-02-01,ADBE,Adobe Inc,Information Technology
2012-02-01,ADI,Analog Devices Inc,Information Technology
2012-02-01,ADM,Archer-Daniels-Midland Co,Consumer Staples
2012-02-01,ADP,Automatic Data Processing Inc,Information Technology
2012-02-01,ADSK,Autodesk Inc,Information Technology
2012-02-01,AEE,Ameren Corp,Utilities
2012-02-01,AEP,American Electric Power Co Inc,Utilities
2012-02-01,AES,AES Corp/VA,Utilities
2012-02-01,AET,Aetna Inc,Health Care
2012-02-01,AFL,Aflac Inc,Financials
2012-02-01,AGN,Allergan PLC,Health Care
2012-02-01,AIG,American International Group Inc,Financials
2012-02-01,AIV,Apartment Investment & Management Co,Real Estate
2012-02-01,AIZ,Assurant Inc,Financials
2012-02-01,AKAM,Akamai Technologies Inc,Information Technology
2012-02-01,ALL,Allstate Corp/The,Financials
2012-02-01,AMAT,Applied Materials Inc,Information Technology
2012-02-01,AMD,Advanced Micro Devices Inc,Information Technology
2012-02-01,AMGN,Amgen Inc,Health Care
2012-02-01,AMP,Ameriprise Financial Inc,Financials
2012-02-01,AMT,American Tower Corp,Real Estate
2012-02-01,AMZN,Amazon.com Inc,Consumer Discretionary
2012-02-01,AN,AutoNation Inc,Consumer Discretionary
2012-02-01,ANDV,Andeavor,Energy
2012-02-01,ANF,Abercrombie & Fitch Co,Consumer Discretionary
2012-02-01,ANRZQ,Alpha Natural Resources Inc,Energy
2012-02-01,ANTM,Anthem Inc,Health Care
2012-02-01,AON,Aon PLC,Financials
